Year,PRCPTOT_mm,RX5day_mm,CDD_days
1981,499.5944,48.270393,23.0
1982,431.2872,53.20227,20.555555555555557
1983,656.8939,95.58564,30.22222222222222
1984,623.65985,178.60097,29.444444444444443
1985,567.45593,57.19507,28.555555555555557
1986,531.8697,60.481743,21.666666666666668
1987,514.88635,58.29413,24.444444444444443
1988,576.57806,265.1157,31.88888888888889
1989,556.3956,57.750263,20.11111111111111
1990,534.45276,56.568558,41.333333333333336
1991,513.82306,63.41292,29.77777777777778
1992,498.70215,74.66533,14.88888888888889
1993,587.90625,62.486862,46.888888888888886
1994,600.4685,65.88338,38.888888888888886
1995,567.2004,99.492744,16.0
1996,677.3149,126.06833,15.0
1997,504.63022,49.839275,23.555555555555557
1998,549.59265,53.852554,20.333333333333332
1999,589.9743,59.21609,29.11111111111111
2000,549.63965,47.555477,55.111111111111114
2001,633.3761,205.13065,16.555555555555557
2002,659.66077,181.14424,20.77777777777778
2003,590.68744,55.830635,24.555555555555557
2004,622.4518,56.18866,21.333333333333332
2005,554.89746,57.972946,51.111111111111114
2006,599.8962,60.228096,34.888888888888886
2007,591.85767,53.866257,14.222222222222221
2008,434.18976,51.065777,23.22222222222222
2009,608.43054,53.692966,25.333333333333332
2010,514.9674,63.936455,26.22222222222222
2011,462.31592,64.694916,30.666666666666668
2012,577.3438,98.29808,23.88888888888889
2013,519.42035,51.31301,18.22222222222222
2014,648.226,80.77823,19.444444444444443
